site,sample,date,group,habitat,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,no3n_mgl,doc_mgl,tdn_mgl,nh4n_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,DO.obs,DO.sat,watertemp_C,discharge,slope_mm,CH4.flux_ugld,CO2.flux_ugld,N2O.flux_ugld,O2.flux_ugld
NHC,NHC_2019-12-03,2019-12-04,2019-12-03,run,2.9882118039999996,1812.2207,0.224883978,0.064216075,1000.367049,0.580098798,1.2639946319299868,0.4202825549968818,6.877,11.63,12.003438237916928,119,0,10,81.06622487,0.022,0.20813434,5.116,0.4047,0.005,0.5173162471961722,0.17848983107695285,0.8471129027821156,2.5237563712391387,3.6976157420341735,1.4453504961074208,9.685332896953618,5.574137525798461,13.583884268232676,0.4198760961271872,11.359166666666669,11.905345564888387,7.20803125,1.2546985855461543,0.00230383472585434,18.80718323963526,5209.893763338978,-2.200478883220785,-3833.0309958287457
NHC,NHC_2020-01-29,2020-01-30,2020-01-29,run,2.260156319,1290.077957,0.739243125,0.067607211,1066.518777,0.620244593,0.4323118919950087,0.3664056286030283,7.1,12.96,12.13006882243467,91.17669172932332,0,10,81.06622487,0.022,0.26731168,3.814,0.3827,0.005,0.7040804154230361,0.3197212979688084,1.0894052940775223,0.10239242787498014,0.6880914130500585,0,10.600895158569513,6.562954547938619,14.728506135014614,0.3688111681038115,12.4378125,12.236643174559294,6.769166666666667,0.4556860839954162,0.00230383472585434,15.53580410652136,1580.7733897940943,0.8126593278309762,1554.7197947028053
NHC,NHC_2020-02-12,2020-02-12,2020-02-12,run,1.526416196,1899.779433,0.6883718495,0.058815366,882.1441497,0.507361495,1.909331005643962,0.4430440289332683,12.52,10.74,10.663997919825944,68.0187969924812,0,10,81.06622487,0.022,0.17528626,6.109,0.361,0.005,0.42764675621133225,0.06087178346628359,0.8236526426915782,0.06280571527243432,0.5578666221706204,0,12.682324358704784,7.372133426435421,18.14339511165965,0.4427637594595895,10.6503125,10.603917573628614,12.640625,1.9283192354057987,0.00230383472585434,14.491432988021147,10077.123008243256,1.7477576642660095,500.1989914624283
NHC,NHC_2020-02-27,2020-02-27,2020-02-27,run,1.7353068975,988.46836875,0.6313642185,0.062340676,957.2580984,0.553325037,0.42108564932332915,0.3651749993088026,9.78,12.14,11.292036580813914,85,0,10,81.06622487,0.022,0.15194832,4.142,0.2184,0.005,1.876191637256082,1.352640222765659,2.3737971344082,0.2821705191706202,0.8281389706760127,0,13.654264762217188,10.303083759582142,17.036333319818517,0.36727301698542664,11.418958333333334,11.223866240176866,9.988229166666668,0.4410050790553349,0.00230383472585434,16.485995446699274,307.6723024545214,0.7470307949876057,2092.843008507403
NHC,NHC_2020-03-11,2020-03-11,2020-03-11,run,4.3288902855,756.15407755,0.614607482,0.057034375,846.9394334,0.48611914,0.220457566725755,0.33617444184395834,14.18,12.03,10.223900862477567,105,0,10,81.06622487,0.022,0.004,2.328,0.0936,0.005,2.0878395003354733,1.6271047310390738,2.541232096445488,1.1230664314824794,1.693628266560962,0.5990187896927645,8.530836594455842,6.404051930107253,10.58691035207758,0.3368583838913087,10.815,10.33860432008093,13.766875,0.22402134298871532,0.00230383472585434,29.6604426075813,-633.0627105293958,0.8750669483124396,3627.703909235123
NHC,NHC_2020-03-20,2020-03-20,2020-03-20,run,7.82703403,1589.6869625,0.4771556895,0.052131165,745.0709762,0.424490368,0.18143389424172768,0.3279037093119068,18.616,10.03,9.35800989508717,108,0,10,81.06622487,0.022,0.0015,2.381,0.09932,0.005,2.15538588236756,1.5705478569551568,2.7069620990184746,3.7469339548754217,4.7301908887928015,2.760084682652985,8.483288114878778,6.133142824031176,10.87347480116275,0.32927464399427636,8.981041666666666,9.339662442090267,18.730260416666667,0.1874809665251845,0.00230383472585434,60.03670841086267,6573.337945384104,0.4006159521155091,-3102.441653582732
PM,PM_2019-11-20,2019-11-20,2019-11-20,pool,5.587116681,2460.495081,0.113715352,0.062673398,963.2354822,0.556890084,0.8387308436138009,0.3880372430253297,9.023,10.33,11.54431188144166,97.4,1570,18.5,68.63434374,0.042,0.035755663,3.768,0.1173,0.005,0.32834657573258175,0,0.8636450523597476,4.383319875605702,6.102687415815679,2.663470260222654,10.307785754897116,6.679255692003861,14.16672152188798,0.38770222944503147,10.25953125,11.476087905356229,9.229574270833334,0.8358805658175856,0.00439823050281498,40.22501853802733,10898.465781201096,-3.127991772557536,-9643.75260282339
PM,PM_2019-11-26,2019-11-26,2019-11-26,pool,1.9265069795,2086.5812425,0.26654509449999997,0.065078812,1011.984885,0.58659778,1.1766468866309678,0.4117820916916896,8.380666666666666,11.29,11.694727863170648,101.9,1570,18.5,68.63434374,0.042,0.02638231,4.641,0.1529,0.005,0.225603714760723,0,0.7318638666037971,3.0474128829091525,4.169928429430666,1.8973771354489044,13.617411081870747,10.024298535247976,17.16985709856086,0.4138454105394933,11.166145833333331,11.788051565409424,8.062833333333334,1.211920725213585,0.00439823050281498,17.579864934856527,10139.540639253346,-2.924584119326665,-6396.721626466144
PM,PM_2019-12-03,2019-12-03,2019-12-03,pool,1.1300536465,1431.792997,0.16691794650000005,0.064934428,1014.289405,0.588531899,1.016663240309067,0.40135839104667625,7.682,11.57,11.792118474012216,82.33333333333334,1570,18.5,68.63434374,0.042,0.12798946,5.7,0.3426,0.005,0.5814654532399566,0.07643138103031827,1.0775111862902125,3.1439524008686064,4.289548699229054,2.02281310740783,13.435195521742289,9.953171336336066,17.277787744428686,0.4053591944118733,11.20125,11.802738701747478,7.668895833333333,1.0812635854354389,0.00439823050281498,9.727308595194128,3806.9681528724313,-3.717679470428505,-5986.643525628242
PM,PM_2019-12-12,2019-12-12,2019-12-12,pool,2.9594665879999997,2283.0284810000003,0.5266000965,0.069214828,1093.838881,0.636398788,1.1463711382925177,0.4099031892143976,6.6355,11.665,12.466985182121824,91.3,1570,18.5,68.63434374,0.042,0.0661,4.546,0.2113,0.005,0.11190737973336656,0,0.5818215737834069,2.9311355790213223,4.157522363976344,1.7401267149379995,12.760127556644882,9.086102510270104,16.406515336175534,0.4113556642919712,11.63046875,12.505571841886582,6.435057291666666,1.170488928808744,0.00439823050281498,24.320665382041472,9981.577922750312,-0.8891701345448271,-8037.857313100804
