site,sample,date,group,habitat,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,no3n_mgl,doc_mgl,tdn_mgl,nh4n_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,DO.obs,DO.sat,watertemp_C,discharge,slope_mm,CH4.flux_ugld,CO2.flux_ugld,N2O.flux_ugld,O2.flux_ugld
WB,WB_2020-03-11,2020-03-11,2020-03-11,run,3.094778857,822.7789339,0.542133236,0.055364418,814.7049221,0.466766795,0.23849453939379717,0.4643059414149583,14.4,11.19,10.15999769420202,100.4,5950,10,61.64141061,0.038,0.0521,2.403,0.1361,0.005,0.791437124907016,0.3200950238974868,1.2199120610074965,0.7202836142139397,1.578672521913946,0,2.12559731057951,0.02469064179751318,4.508764978461564,0.4632351256937029,10.833333333333334,10.405056902630369,13.4609375,0.2342803212072336,0.00397935127800959,5.288715680160649,14.112403760963437,0.1286788544413335,817.9175293975416
WB,WB_2020-03-20,2020-03-20,2020-03-20,run,5.974688321,1415.1233425,0.4415938235,0.050436547,712.3301463,0.404955705,0.19934756405728796,0.45371798044914263,20.7909128,10.27,8.938416362561753,108.5,5950,10,61.64141061,0.038,0.0033,3.14,0.1237,0.005,1.208200513617791,0.6780803733326043,1.7174524321207256,0.876152013188086,1.6967379653700236,0.11836070213445891,1.947183638341556,0.6964221929157367,3.353372946921079,0.4560270266956077,9.5025,9.3022576034969,18.9534712375,0.2074655008824828,0.00397935127800959,11.05622404653707,1323.973850052315,0.06736868355458503,424.6712810978008
WBP,WBP_2019-11-11,2019-11-11,2019-11-11,pool,20.4832645,7117.406144500001,0.436616859,0.06298339,971.4965581,0.562111999,0.35226802703116733,0.4847292464003705,9.599,6.78,11.37246243201034,91.8,6120,15.6,61.38241308,0.021,0.021508166,4.921,0.17,0.005,0.6237878461806659,0,1.5697148127746332,3.683303300447174,6.986028808051409,0.7892463971674009,1.670264180311007,0.35229248698933857,3.4073624125940456,0.4881145819666115,6.8620833333333335,11.454376740929192,9.308112395833334,0.3714050624610507,0.00219911495598649,24.489862088178935,7372.273597919722,-0.1461284177691822,-5995.3855204095735
WBP,WBP_2019-11-20,2019-11-20,2019-11-20,pool,7.4343840845,4179.7385465,0.027964239,0.062752839,966.1971566,0.558823593,0.8588631531214335,0.5459698859807322,9.561,9.13,11.392983268644851,90.6,6120,15.6,61.38241308,0.021,0,4.429,0.168,0.005,0.7403881515184301,0,1.7162752849337553,3.725015781240191,6.104143430953707,1.615472073891263,3.1353764037732357,1.507541935263887,4.98851038804318,0.5467852570979235,9.370052083333333,11.52151315901039,9.0651215625,0.8689800673685724,0.00219911495598649,16.577765809622434,7228.06054459959,-1.1589898226857809,-5266.943702171734
WBP,WBP_2019-11-26,2019-11-26,2019-11-26,pool,6.255805819000001,3325.898854,0.413134374,0.065249603,1015.553781,0.588785809,0.958232487095465,0.5540079291442015,8.182,10.13,11.743211576423402,93.2,6120,15.6,61.38241308,0.021,0.051877831,5.18,0.1845,0.005,0,0,0.7572007198476082,2.8320507716759393,4.7059655919170025,1.0252945736470311,4.000734377182304,2.4315778387259086,5.706574015852931,0.5549867885670502,9.9990625,11.722448739381871,8.285666666666666,0.9723015369385644,0.00219911495598649,17.079266002521965,6367.084670424556,-0.4686068761249374,-5179.135966915356
WBP,WBP_2019-12-03,2019-12-03,2019-12-03,pool,6.661146767,3360.2288425,0.635623911,0.064897850000000007,1014.62939,0.588849616,0.867437730881331,0.5466944096357087,7.481,9.09695652173913,11.855017660858737,82.1969696969697,6120,15.6,61.38241308,0.021,0.850737486,6.677,1.11,0.00114,0.2701711529117519,0,1.1649890486884784,2.9649017461219014,4.878258228550724,1.0156986517341655,3.4782346321598956,1.9260757009060117,5.266820129074878,0.5507901749770746,9.282083333333333,11.802297769984666,7.715830198220065,0.922353847470154,0.00219911495598649,15.505518242003866,5504.114970559889,0.10609420331645156,-6457.9915341161595
WBP,WBP_2019-12-12,2019-12-12,2019-12-12,pool,7.301414772499999,3849.6377755,0.6298948795,0.068289051,1076.30926,0.62580792,0.8593977616831617,0.546015241442676,6.62,10.77,12.450874143735833,87,6120,15.6,61.38241308,0.021,0.13,4.265,0.2703,0.005,0.06326308829867164,0,0.9951256081756942,1.871115267909898,3.776282965374224,0,3.41819594485093,1.8341178297432392,5.172553141634464,0.549923307809281,10.664375,12.388856717674942,6.811979166666666,0.9069357896052656,0.00219911495598649,16.297160493194248,6232.889482692937,0.00886161428031687,-4241.2894205676375
WBP,WBP_2020-01-05,2020-01-05,2020-01-05,pool,3.6725035695,1858.923946,0.415289486,0.063175795,974.4643388,0.56382917,1.335519537933607,0.5791129151501444,9.2,11.49,11.509825944832857,58.2,6120,15.6,61.38241308,0.021,0.322,8.627,0.5894,0.005,0.5494082952534318,0,1.4427231113606034,2.3670288217917026,4.056490362271794,0.6659669230222689,6.775611814809464,4.449694451948028,9.468541726757522,0.6004815719786394,11.085625,11.469436240159112,9.286458333333334,1.9359272379036565,0.00219911495598649,17.36213238146779,4253.887738535352,-0.6929788849957401,-2009.912396204508
WBP,WBP_2020-01-29,2020-01-29,2020-01-29,pool,5.2593260885,2461.2892565,0.8165139205,0.067790858,1072.295758,0.623995675,0.5204026480728632,0.5106486391877891,6.3,12.23,12.32648811420289,61.4,6120,15.6,61.38241308,0.021,0.3195,3.666,0.4342,0.005,0.5160259437704734,0,1.469840661857848,0.7453664615994751,2.306628974418247,0,2.578752656898226,0.9891052738505242,4.320613304826375,0.5167698283409268,11.914222756410256,12.30334386588678,6.4165544871794875,0.5698916822981364,0.00219911495598649,8.742743749975883,2332.532854577328,0.31167896163911357,-715.7353237974077
WBP,WBP_2020-02-12,2020-02-12,2020-02-12,pool,2.621659738,2588.5416189999996,0.579793152,0.058248682,872.0625259,0.501375142,3.168782136447183,0.6499146422897536,12.42,10.49,10.689148336589586,51.4,6120,15.6,61.38241308,0.021,0.1793,6.938,0.378,0.005,0.5568198561527221,0,1.5010040328937289,1.0238054078883143,2.611632989215769,0,2.7202177868415127,1.197128103167516,4.538261145106772,0.6350426870011201,10.420208333333331,10.627720796086177,12.541041666666668,2.7904464983200414,0.00219911495598649,5.414372208499028,3635.555509911448,0.1619305594771547,-478.46975232164954
WBP,WBP_2020-02-27,2020-02-27,2020-02-27,pool,4.332550678,1392.316435,0.651103072,0.060900365,929.2522371,0.536400534,0.4005137478435046,0.49310659861203177,10.3,11.97,11.145022092148617,64.8,6120,15.6,61.38241308,0.021,0.1236,3.719,0.2316,0.005,1.8960282989434425,0.8729243880624247,2.9168398322051186,1.229036099935147,2.960333724722356,0,1.7042013546805754,0.3868335581324745,3.320571857898339,0.49452768953595577,11.255520833333334,11.053624089217314,10.611666666666666,0.41035855226172024,0.00219911495598649,5.331223959636414,578.4187333566537,0.13925261517375687,274.3471926996513
WBP,WBP_2020-03-11,2020-03-11,2020-03-11,pool,7.5675089245,1332.4552925,0.552251783,0.055111342,809.5069998,0.463621852,0.23646045167224375,0.4596097351235835,15.78,11.33,9.860909728615614,90.9,6120,15.6,61.38241308,0.021,0.0574,2.354,0.1487,0.005,1.0986887771573504,0.0265614850404071,2.1861765291513553,1.0724140423940178,2.874425645210676,0,1.372714707750244,0.16468577453460073,2.931590252182379,0.4591111344812384,11.023229166666669,10.332312634608778,13.792291666666667,0.23457343487061985,0.00219911495598649,8.748682374170567,612.4532048225503,0.10146740489295838,887.9293819478061
WBP,WBP_2020-03-20,2020-03-20,2020-03-20,pool,9.730411752999998,2254.1864625,0.4182986345,0.051355884,731.3115883,0.416370149,0.20039604936180247,0.44956759078368097,20.893374,9.49,8.918216517411388,109.4,6120,15.6,61.38241308,0.021,0.0023,3.099,0.1434,0.005,1.0606151078704484,0,2.0733089283748307,0.7863227497651162,2.556821713774087,0,1.3962936272207511,0.2965291855300613,2.822811355605566,0.4517904034877423,9.630698909830008,9.259074685011456,19.176300504166665,0.2080364875784056,0.00219911495598649,12.984179229347708,2062.315637173421,0.00254883954257707,566.9098632889263
