site,date,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,habitat,slope_mm
WB,2019-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424282923387238,0,0.8461184207522043,3.2442493227148157,5.055104818615676,1.4215189609702321,4.191168015909877,1.4649520646655028,6.946377188623112,0.5319067045896942,84.353125,10.4478125,11.917110608076081,7.631788958333333,0.6866043220010002,101.01643970926489,7.1171875,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4410636994094963,0,1.3964847763576356,3.1022036147829066,5.439137612811328,0.8587646557041351,2.3578056719186975,0.5227989145572663,4.189570794001026,0.5299243236027256,74.76041666666667,9.84,11.923008522680087,7.603590625,0.6875175814682223,101.01643970926489,7.1171875,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12416560763614895,0,0.5906580660799475,3.772266666172545,6.203930636816588,1.2373011485715935,4.87395588046115,1.2654523662785009,8.205099242026806,0.3285099368794606,NA,8.963645833333333,11.886569746387549,7.730208333333334,0.7000369791726615,101.01643970926489,7.1171875,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
NHC,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.276537342367309,3.3203172722691616,5.073520331956551,1.5134768599314807,9.998731061697466,4.386141850060196,15.187802265946027,0.3888920851070316,134.28125,10.700729166666667,11.71687272679667,8.021458333333333,0.6895122540116332,100.30992929259823,6.561979166666666,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12195858155662667,0,0.6605580262596423,3.6200454908004702,5.271883966831501,2.0993286692918764,9.879862852818412,6.391589227905745,13.676730342738674,0.3753975489685283,95.23854166666666,10.5809375,11.6661380009735,8.199270729166667,0.6953927008184987,100.30992929259823,6.561979166666666,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25000484868096395,0,0.6398965516227422,3.2925480541649317,4.4013122317610875,2.228622708956622,9.959213920238467,7.2863629414817055,12.842148858985778,0.34736196043437484,89.69895833333334,10.648125,11.6731911690328,8.175104062499999,0.7025771235245255,100.30992929259823,6.561979166666666,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
WB,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.36508128401094037,4.502548471714833,7.281601264813094,1.9497923360461245,5.359710895391744,2.339158638334177,8.596817651697782,0.5342457705277336,82.11770833333334,9.798229166666667,11.74969336848459,7.908294791666667,0.7121197367854519,100.30992929259823,6.561979166666666,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1955366504066736,0.28102959202086425,2.171561292569384,5.082204096139025,7.62198233158176,2.711546842903903,2.7589465394780976,1.126674471689768,4.394614580905246,0.5323072649823608,74.53958333333334,9.0138541666666665,11.735496018724849,7.9569861458333335,0.7127691039178901,100.30992929259823,6.561979166666666,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
UNHC,2019-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.44547771521771606,7.434098027514869,11.35518658804446,3.9840371497576,8.181672067639717,4.287517266190659,12.547082456171761,0.3306424877481868,NA,8.3134375,11.696158473772547,8.094166666666666,0.7216713775611868,100.30992929259823,6.561979166666666,35.9925,-79.046,WGS84,8450,13.8,58.01544528,0.018,run,0.00188495565416643
NHC,2019-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00519299828554514,0,0.3117337667318615,3.0240945155126226,4.635970451321669,1.2357018584203856,8.619778137428781,3.276353339147864,13.261800844212138,0.39516293642844785,129.72916666666666,10.4296875,11.538370628166769,8.67375,0.7822901975512819,100.34930429259822,8.5625,35.9795,-79.0018,WGS84,0,10,81.06622487,0.022,run,0.00230383472585434
PM,2019-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.37737385838954407,3.5532836649328874,5.02030252655615,2.0870721653071453,9.946484598963284,6.391983120766744,13.280650678074279,0.3853825470343959,96.30416666666666,10.2159375,11.495065982691212,8.831070208333333,0.8074015191354031,100.34930429259822,8.5625,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,0.00439823050281498
CBP,2019-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24493067382976647,0,0.6273243701713881,2.8892345406467115,3.86873711229133,1.9613469092504097,9.314535239689517,6.695776797149298,11.985034450947355,0.36181228853269437,88.36666666666666,10.458333333333334,11.448747520675708,8.998774583333333,0.8388092654306466,100.34930429259822,8.5625,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,0.00387463147802864
WB,2019-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5792497798280656,0.18160369005496094,0.995465272952652,3.4026208350628906,5.2950900380024875,1.6666741042094584,3.947325995191922,1.6669754689975143,6.436793273036267,0.5492373188163183,88.4875,9.803645833333333,11.513237000754163,8.767496770833333,0.8804705426640963,100.34930429259822,8.5625,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,0.00397935127800959
WBP,2019-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9920218300979643,0,1.931323472873501,3.324013376674995,5.415855402273629,1.103219851867538,2.622976065131218,1.1363230568052676,4.1093538505933385,0.547987424238157,81.17291666666667,8.517916666666666,11.533118169602577,8.694600625,0.8833079063066309,100.34930429259822,8.5625,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,0.00219911495598649
