site,date,datetime,group,CH4.ugL,CO2.ugL,N2O.ugL,CH4.sat,CO2.sat,N2O.sat,pH,level_m.inst,discharge.inst,depth.inst,watertemp_C.inst,DO.obs.inst,DO.sat.inst,spc_uScm.inst,airtemp_C.inst,airpres_kPa.inst,latitude,longitude,CRS,distance_upstream_m,width_march_m,ws_area_km2,slope_wbx,habitat,cl_mgl,so4_mgl,br_mgl,no3n_mgl,na_mgl,k_mgl,mg_mgl,ca_mgl,doc_mgl,tdn_mgl,nh4n_mgl,po4p_mgl,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600_2.5,K600_97.5,depth,spc_uScm,DO.obs,DO.sat,watertemp_C,discharge,airpres_kPa,airtemp_C,sample,slope_mm
WB,2020-01-05,2020-01-05T18:45:00Z,2020-01-05,2.285995122,2072.53541,0.368917162,0.063217622,975.1095085,0.564202468,7.21,0.965883506012054,1.3656532569476143,0.5811777629702987,9.24,11.38,11.50111998174527,62.9,9.4,101.07046175015749,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,6.68,6.77,0.015,0.3117,4.98,NA,2.62,8.03,8.852,0.5999,0.005,0.0112616,0.7417927804546257,0.26804210833238545,1.1706300825232085,2.442186607730868,3.4416631078828868,1.3165889409079512,7.137078714542621,4.290813773384906,10.185242898740967,0.5994657747628407,63.91770833333333,10.969583333333333,11.47746868734891,9.257083333333334,1.9207239167949266,101.20883554259822,6.059375,WB_2020-01-05,0.00397935127800959
WBP,2020-01-05,2020-01-05T19:00:00Z,2020-01-05,3.648610983,1846.8185,0.456965722,0.063175795,974.4643388,0.56382917,7.19,1.0880581094072816,1.335519537933607,0.5791129151501444,9.2,11.49,11.509825944832857,58.2,9.4,101.02713286067609,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,6.72,6.81,0.015,0.322,4.99,NA,2.62,8.01,8.627,0.5894,0.005,0.0101936,0.5494082952534318,0,1.4427231113606034,2.3670288217917026,4.056490362271794,0.6659669230222689,6.775611814809464,4.449694451948028,9.468541726757522,0.6004815719786394,58.546875,11.085625,11.469436240159112,9.286458333333334,1.9359272379036563,101.20883554259822,6.059375,WBP_2020-01-05,0.00219911495598649
WBP,2020-01-05,2020-01-05T19:00:00Z,2020-01-05,3.696396156,1871.029392,0.37361325,0.063175795,974.4643388,0.56382917,7.19,1.0880581094072816,1.335519537933607,0.5791129151501444,9.2,11.49,11.509825944832857,58.2,9.4,101.02713286067609,35.994973,-79.033925,WGS84,6120,15.6,61.38241308,0.021,pool,6.72,6.81,0.015,0.322,4.99,NA,2.62,8.01,8.627,0.5894,0.005,0.0101936,0.5494082952534318,0,1.4427231113606034,2.3670288217917026,4.056490362271794,0.6659669230222689,6.775611814809464,4.449694451948028,9.468541726757522,0.6004815719786394,58.546875,11.085625,11.469436240159112,9.286458333333334,1.9359272379036563,101.20883554259822,6.059375,WBP_2020-01-05,0.00219911495598649
MC751,2020-01-05,2020-01-05T20:15:00Z,2020-01-05,17.01923253,4393.542166,1.174723983,0.063422345,979.1491436,0.566652732,7.05,NA,NA,NA,9,10.64,11.552660152008688,84,10.45,101.07129063963889,36.0087,-78.9683,WGS84,NA,4,3.574165825,0.01,pool,6.97,8.44,0.015,0.2197,5.89,NA,3.3,10.57,7.062,0.4502,0.005,0.01176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,10.64,11.552660152008688,9,NA,NA,NA,MC751_2020-01-05,NA
MC751,2020-01-05,2020-01-05T20:15:00Z,2020-01-05,16.29915003,3896.060165,0.96102234,0.063422345,979.1491436,0.566652732,7.05,NA,NA,NA,9,10.64,11.552660152008688,84,10.45,101.07129063963889,36.0087,-78.9683,WGS84,NA,4,3.574165825,0.01,pool,6.97,8.44,0.015,0.2197,5.89,NA,3.3,10.57,7.062,0.4502,0.005,0.01176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,10.64,11.552660152008688,9,NA,NA,NA,MC751_2020-01-05,NA
PM,2020-01-29,2020-01-29T16:30:00Z,2020-01-29,1.102012466,1629.716053,0.690961887,0.068037888,1075.239077,0.625577365,6.58,0.9318559141006484,0.5356918403930316,0.3586853175215837,6.380421052631579,11.906,12.329582972959686,69.38315789473685,7.5,101.13711419649798,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,8.83,8.31,0.015,0.3203,5.74,NA,2.97,9.08,3.979,0.416,0.14465,0.011404,0.3720524544493686,0,0.9015831215004702,1.506220086171273,2.60197198017182,0.4190693073145682,8.477205623806299,4.824431586086575,12.24806453266418,0.3585947602375743,69.35444078947368,11.705416666666666,12.27749329414569,6.549133771929825,0.5358378626411205,101.17732512593156,4.413020833333333,PM_2020-01-29,0.00439823050281498
PM,2020-01-29,2020-01-29T16:30:00Z,2020-01-29,1.124821142,1713.993279,0.754291964,0.068037888,1075.239077,0.625577365,6.58,0.9318559141006484,0.5356918403930316,0.3586853175215837,6.380421052631579,11.906,12.329582972959686,69.38315789473685,7.5,101.13711419649798,35.987235,-79.008397,WGS84,1570,18.5,68.63434374,0.042,pool,8.83,8.31,0.015,0.3203,5.74,NA,2.97,9.08,3.979,0.416,0.14465,0.011404,0.3720524544493686,0,0.9015831215004702,1.506220086171273,2.60197198017182,0.4190693073145682,8.477205623806299,4.824431586086575,12.24806453266418,0.3585947602375743,69.35444078947368,11.705416666666666,12.27749329414569,6.549133771929825,0.5358378626411205,101.17732512593156,4.413020833333333,PM_2020-01-29,0.00439823050281498
CBP,2020-01-29,2020-01-29T17:30:00Z,2020-01-29,1.457126429,1748.729048,0.759702638,0.067822266,1071.831479,0.623594814,6.93,1.1346830860745367,0.5228679279553178,0.3248551903972952,6.38,12.16,12.313026256777643,65.6,9.15,100.91963552698724,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,8.83,8.36,0.08,0.2955,5.68,NA,2.99,9.22,3.801,0.4099,0.005,0.005,0.594504206122112,0.20764507784874414,0.9769112218379147,1.4849039501801626,2.263281920563154,0.6994212123294732,7.165180549220873,4.790566196267668,9.461915090680405,0.32850698697169356,65.22083333333333,11.462708333333333,12.25411803630739,6.565625,0.5499084518620414,101.17732512593156,4.413020833333333,CBP_2020-01-29,0.00387463147802864
CBP,2020-01-29,2020-01-29T17:30:00Z,2020-01-29,1.503242857,1916.243119,0.725027439,0.067822266,1071.831479,0.623594814,6.93,1.1346830860745367,0.5228679279553178,0.3248551903972952,6.38,12.16,12.313026256777643,65.6,9.15,100.91963552698724,35.98549,-79.022675,WGS84,3450,18.3,66.04436851,0.037,pool,8.83,8.36,0.08,0.2955,5.68,NA,2.99,9.22,3.801,0.4099,0.005,0.005,0.594504206122112,0.20764507784874414,0.9769112218379147,1.4849039501801626,2.263281920563154,0.6994212123294732,7.165180549220873,4.790566196267668,9.461915090680405,0.32850698697169356,65.22083333333333,11.462708333333333,12.25411803630739,6.565625,0.5499084518620414,101.17732512593156,4.413020833333333,CBP_2020-01-29,0.00387463147802864
WB,2020-01-29,2020-01-29T18:00:00Z,2020-01-29,2.301087205,2257.116985,0.76362757,0.067303399,1061.726068,0.617457345,7.06,0.7101760413771845,0.5258953832174875,0.514029413778929,6.56,12.355,12.247042712906238,68.5,10,100.76381730275048,35.993014,-79.034349,WGS84,5950,10,61.64141061,0.038,run,8.44,8.35,0.07,0.3164,5.56,NA,3.02,9.37,3.741,0.4241,0.005,0.005,0.5015884760715854,0.07879549002356961,0.9047449773390408,0.2992858407132039,1.0138060415138133,0,3.8412950004047417,1.512502192729507,6.365086654003509,0.5191151461857428,68.33020833333333,12.03140625,12.239881378675456,6.612291666666667,0.5686193417834786,101.17732512593156,4.413020833333333,WB_2020-01-29,0.00397935127800959
