sample,site,aicc,singular,vif,R2m,R2c,logQ,rmse,watertemp_C,GPP,ER,slope_mm,DO.obs,log_doc,depth,delta_aicc,rel_likelihood,aicc_weight,gas,flux,log_no3n
TRUE,TRUE,131.9635516529833,FALSE,1.5418738617272107,0.7385413403032538,0.9516757645074744,TRUE,0.16912284795219784,NA,TRUE,TRUE,NA,NA,NA,NA,0,1,0.3128005591213003,CO2,flux,NA
TRUE,TRUE,132.71914327412856,FALSE,1.923392214213961,0.7489629086979482,0.9519533400531939,TRUE,0.17000593603526715,TRUE,TRUE,TRUE,NA,NA,NA,NA,0.7555916211452427,0.685370431775164,0.2143842542644783,CO2,flux,NA
TRUE,TRUE,133.59484601923887,FALSE,1.5740453991812084,0.7506337247447913,0.9512564423400115,TRUE,0.16951274570620775,NA,TRUE,TRUE,NA,TRUE,NA,NA,1.6312943662555597,0.4423529513358526,0.13836825050681203,CO2,flux,NA
TRUE,NA,134.0403852438273,FALSE,1.5657498034453814,0.729157465638207,0.9477961683005119,TRUE,0.16784709991796057,NA,TRUE,TRUE,NA,NA,NA,NA,2.0768335908439894,0.35401471623681224,0.11073600117604333,CO2,flux,NA
TRUE,TRUE,135.4497940853035,FALSE,1.5779637633656611,0.7405605790752539,0.9512954053192171,TRUE,0.1691167520512485,NA,TRUE,TRUE,TRUE,NA,NA,NA,3.486242432320182,0.17497341757637683,0.05473178284925542,CO2,flux,NA
TRUE,NA,135.59890368350497,FALSE,1.634427264912619,0.7429456361573691,0.9478332856602598,TRUE,0.1681788833412414,NA,TRUE,TRUE,NA,TRUE,NA,NA,3.635352030521659,0.16240273418839807,0.05079966605695883,CO2,flux,NA
TRUE,TRUE,136.3251039050566,FALSE,1.950779647862182,0.749432345869364,0.9517131477333883,TRUE,0.1699687534657474,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,4.361552252073295,0.11295383020299612,0.03533202124238961,CO2,flux,NA
TRUE,NA,136.33359114191242,FALSE,1.9922817180487606,0.7390372004673305,0.9476574579040183,TRUE,0.1681675826787429,TRUE,TRUE,TRUE,NA,NA,NA,NA,4.370039488929109,0.1124755128635885,0.03518240331118549,CO2,flux,NA
TRUE,NA,136.89564734616266,FALSE,1.6520672717187288,0.7401404061983842,0.9482420420180039,TRUE,0.16793983416119865,NA,TRUE,TRUE,TRUE,NA,NA,NA,4.932095693179349,0.08491981279894135,0.026562964923985008,CO2,flux,NA
TRUE,TRUE,137.3559384492848,FALSE,2.9217422162873774,0.749168252041965,0.951792872841067,TRUE,0.16960470693042326,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,5.39238679630148,0.06746182489849259,0.02110209654759174,CO2,flux,NA
